*Date,*Time Start,*Time End,Tracks,*Session Title,Room/Location,Description,Speakers,Authors,Live Streaming URL,Recorded Video URL,Session or Sub-session(Sub),Tags,Description_English,Description_Original
12/26/2025,11:45 AM,12:30 PM,Professional Society (AMPS),Is Your Paycheck Getting Taxed to Death? Legal Ways to Keep What You Earn More,Hyatt Regency Ballrooms CDE,,Khaled Albadawi; Mutaz Al Khateeb,,,Session,,,,
12/26/2025,11:45 AM,12:30 PM,Parallel Program,Humanitarian Advocacy: The Power of Your Voice - IRUSA,Level 1 - S105A,"Your voice has power. Power to fight hunger. Power to stand for justice. And power to show compassion & dignity, when it matters most. Right now, too many go without basic needs, but your voice can change that. Be the one who stands up because when you stand up, meals get distributed, children are cared for, and their voices echo around the world. Learn how to speak up, become an advocate, and make an impact, today.",Aseel Elborno,,,Session,,,"Your voice has power. Power to fight hunger. Power to stand for justice. And power to show compassion & dignity, when it matters most. Right now, too many go without basic needs, but your voice can change that. Be the one who stands up because when you stand up, meals get distributed, children are cared for, and their voices echo around the world. Learn how to speak up, become an advocate, and make an impact, today.","Your voice has power. Power to fight hunger. Power to stand for justice. And power to show compassion & dignity, when it matters most. Right now, too many go without basic needs, but your voice can change that. Be the one who stands up because when you stand up, meals get distributed, children are cared for, and their voices echo around the world. Learn how to speak up, become an advocate, and make an impact, today."
12/26/2025,11:45 AM,12:30 PM,ISPU,Seeing Is Believing: How TV Portrayals of Muslims Influence Public Policy Support,Level 1 - S102D,,Kalia Abiade; Sohad Murrar; Tuqa Nusairat,,,Session,,,,
12/26/2025,11:45 AM,12:30 PM,Education,Positive Teaching Strategies Part 1,Level 1 - S102BC,"In this workshop, the speakers will introduce positive classroom approaches for effective teaching, including 30 practical strategies aligned with Cognia accreditation standards. Sr. Asmaa Albadawi will focus on habits of the effective teacher, while Dr. Hamed Ghazali will present strategies the professional teacher uses.",Dr. Hamed Ghazali; Asmaa Albadawi,,,Session,,,"In this workshop, the speakers will introduce positive classroom approaches for effective teaching, including 30 practical strategies aligned with Cognia accreditation standards. Sr. Asmaa Albadawi will focus on habits of the effective teacher, while Dr. Hamed Ghazali will present strategies the professional teacher uses.","In this workshop, the speakers will introduce positive classroom approaches for effective teaching, including 30 practical strategies aligned with Cognia accreditation standards. Sr. Asmaa Albadawi will focus on habits of the effective teacher, while Dr. Hamed Ghazali will present strategies the professional teacher uses."
12/26/2025,11:45 AM,12:30 PM,Activism,Sponsorship Session,Level 1 - S105BC,,,,,Session,,,,
12/26/2025,11:45 AM,12:30 PM,Dawah,Da‘wah Training for Latino Muslims: From Learning Islam to Sharing Islam- Ojala Foundation (Latino Muslim Network),Level 1 - S105D,"Latino Muslims represent one of the most dynamic and rapidly growing communities embracing Islam in America. This session, conducted in collaboration with Ojala’s Latino Muslim speakers, is designed to empower Latino Muslims with the tools, confidence, and cultural understanding to share Islam effectively within their own communities. By blending Qur’anic principles, prophetic wisdom, and culturally relevant communication strategies, participants will learn not only how to strengthen their personal faith but also how to engage their families, friends, and wider Latino circles in meaningful dialogue about Islam. The session focuses on turning newly acquired faith into active outreach—helping Latino Muslims become ambassadors of Islam within their language, heritage, and social networks.",Sabeel Ahmed; Vilma Lopez; Alma Campos,,,Session,,,"Latino Muslims represent one of the most dynamic and rapidly growing communities embracing Islam in America. This session, conducted in collaboration with Ojala’s Latino Muslim speakers, is designed to empower Latino Muslims with the tools, confidence, and cultural understanding to share Islam effectively within their own communities. By blending Qur’anic principles, prophetic wisdom, and culturally relevant communication strategies, participants will learn not only how to strengthen their personal faith but also how to engage their families, friends, and wider Latino circles in meaningful dialogue about Islam. The session focuses on turning newly acquired faith into active outreach—helping Latino Muslims become ambassadors of Islam within their language, heritage, and social networks.","Latino Muslims represent one of the most dynamic and rapidly growing communities embracing Islam in America. This session, conducted in collaboration with Ojala’s Latino Muslim speakers, is designed to empower Latino Muslims with the tools, confidence, and cultural understanding to share Islam effectively within their own communities. By blending Qur’anic principles, prophetic wisdom, and culturally relevant communication strategies, participants will learn not only how to strengthen their personal faith but also how to engage their families, friends, and wider Latino circles in meaningful dialogue about Islam. The session focuses on turning newly acquired faith into active outreach—helping Latino Muslims become ambassadors of Islam within their language, heritage, and social networks."
12/26/2025,11:45 AM,12:30 PM,Women & Community Solutions,Navigating Relationships - Q&A Session,Level 1 - S106,,Zaynab Ansari; Sana Mohiuddin,,,Session,,,,
12/26/2025,11:45 AM,12:30 PM,College & Young Professional,Prophetic Patience in Times of Trial,Level 1 - GB S100A,"The Prophet ﷺ endured immense hostility yet responded with unmatched patience and dignity. Allah instructs: “So be patient. Indeed, the promise of Allah is truth.” (Ar-Rūm 30:60). This session dives into the practical application of sabr in our daily struggles.",Suleiman Hani,,,Session,,,"The Prophet prayed to God and peace endured immense hostility yet responded with unmatched patience and dignity. Allah instructs: “So be patient. Indeed, the promise of Allah is truth.” (Ar-Roum 30:60). This session dives into the practical application of sabr in our daily struggles.","The Prophet ﷺ endured immense hostility yet responded with unmatched patience and dignity. Allah instructs: “So be patient. Indeed, the promise of Allah is truth.” (Ar-Rūm 30:60). This session dives into the practical application of sabr in our daily struggles."
12/26/2025,11:45 AM,12:30 PM,Youth,Fearless Faith: The Legacy of Anas al-Sharif,Level 4-N426,"Before becoming a shaheed, the brave journalist from Gaza, Anas al-Sharif, may Allah SWThave mercy on him, shared this powerful ayah on Instagram: ""They responded, “By the One Who created us! We will never prefer you over the clear proofs that have come to us. So do whatever you want! Your authority only covers the ˹fleeting˺ life of this world.(20:72)” Anas shared this verse in the face of today's oppressors Israel, just like the magicians in the time of Musa, who, after witnessing Allah’s truth, rejected Firaun and chose faith over fear. Anas’ courage shows what true steadfastness is: trusting Allah completely, even when the world feels unsafe. Imagine if we, as an ummah, lived with that same unwavering faith—fear wouldn’t control us, and our actions would reflect trust in Allah’s plan. True courage isn’t the absence of fear; it’s acting with faith stronger than fear. How do we walk that path today? How do we live boldly and faithfully, even when life tests us?",Fuad Mohamed,,,Session,,,"Before becoming a shaheed, the brave journalist from Gaza, Anas al-Sharif, may Allah SWThave mercy on him, shared this powerful ayah on Instagram: ""They responded, “By the One Who created us! We will never prefer you over the clear proofs that have come to us. So do whatever you want! Your authority only covers the ˹fleeting˺ life of this world.(20:72)” Anas shared this verse in the face of today's oppressors Israel, just like the magicians in the time of Musa, who, after witnessing Allah’s truth, rejected Firaun and chose faith over fear. Anas’ courage shows what true steadfastness is: trusting Allah completely, even when the world feels unsafe. Imagine if we, as an ummah, lived with that same unwavering faith—fear wouldn’t control us, and our actions would reflect trust in Allah’s plan. True courage isn’t the absence of fear; it’s acting with faith stronger than fear. How do we walk that path today? How do we live boldly and faithfully, even when life tests us?","Before becoming a shaheed, the brave journalist from Gaza, Anas al-Sharif, may Allah SWThave mercy on him, shared this powerful ayah on Instagram: ""They responded, “By the One Who created us! We will never prefer you over the clear proofs that have come to us. So do whatever you want! Your authority only covers the ˹fleeting˺ life of this world.(20:72)” Anas shared this verse in the face of today's oppressors Israel, just like the magicians in the time of Musa, who, after witnessing Allah’s truth, rejected Firaun and chose faith over fear. Anas’ courage shows what true steadfastness is: trusting Allah completely, even when the world feels unsafe. Imagine if we, as an ummah, lived with that same unwavering faith—fear wouldn’t control us, and our actions would reflect trust in Allah’s plan. True courage isn’t the absence of fear; it’s acting with faith stronger than fear. How do we walk that path today? How do we live boldly and faithfully, even when life tests us?"
12/26/2025,11:45 AM,12:30 PM,My Ummah,"Voices of South Asia: Justice, Rights, and the Future of Pakistan, Bangladesh & Kashmir",Level 1 - S103D,"This session provides a comprehensive and timely overview of three pivotal regions in South Asia—Pakistan, Bangladesh, and Kashmir—each navigating its own complex intersection of politics, identity, and justice. We will explore Pakistan’s renewed emphasis on Islamic solidarity, its internal political fluctuations, and the social pressures shaping its role within the wider Muslim world. Shifting priorities, economic challenges, and geopolitical alliances continue to influence how the country positions itself on key Ummah-related issues. In contrast, Bangladesh’s evolving nationalist identity presents another trajectory—one where historical memory, economic development, cultural pride, and political consolidation intersect. As the state continues to redefine what it means to be Bangladeshi, we will examine how these shifts impact democratic space, minority rights, and the region’s long-term stability. Finally, we turn to Kashmir, where an unresolved and decades-long struggle for self-determination remains one of the most sensitive and enduring crises in the Muslim world. Despite global attention waxing and waning, the humanitarian, political, and demographic realities on the ground continue to evolve with profound implications for justice and human rights. Together, these updates highlight the region’s broader themes: Who gets to define national identity? Whose rights are protected—or suppressed? And how do global and regional powers shape the future of millions? This talk aims to provide clarity, context, and a deeper understanding of the socioeconomic and political dynamics at play—helping attendees grasp both the challenges and the opportunities for meaningful advocacy and engagement.",Saad Kazmi,,,Session,,,"This session provides a comprehensive and timely overview of three pivotal regions in South Asia—Pakistan, Bangladesh, and Kashmir—each navigating its own complex intersection of politics, identity, and justice. We will explore Pakistan’s renewed emphasis on Islamic solidarity, its internal political fluctuations, and the social pressures shaping its role within the wider Muslim world. Shifting priorities, economic challenges, and geopolitical alliances continue to influence how the country positions itself on key Ummah-related issues. In contrast, Bangladesh’s evolving nationalist identity presents another trajectory—one where historical memory, economic development, cultural pride, and political consolidation intersect. As the state continues to redefine what it means to be Bangladeshi, we will examine how these shifts impact democratic space, minority rights, and the region’s long-term stability. Finally, we turn to Kashmir, where an unresolved and decades-long struggle for self-determination remains one of the most sensitive and enduring crises in the Muslim world. Despite global attention waxing and waning, the humanitarian, political, and demographic realities on the ground continue to evolve with profound implications for justice and human rights. Together, these updates highlight the region’s broader themes: Who gets to define national identity? Whose rights are protected—or suppressed? And how do global and regional powers shape the future of millions? This talk aims to provide clarity, context, and a deeper understanding of the socioeconomic and political dynamics at play—helping attendees grasp both the challenges and the opportunities for meaningful advocacy and engagement.","This session provides a comprehensive and timely overview of three pivotal regions in South Asia—Pakistan, Bangladesh, and Kashmir—each navigating its own complex intersection of politics, identity, and justice. We will explore Pakistan’s renewed emphasis on Islamic solidarity, its internal political fluctuations, and the social pressures shaping its role within the wider Muslim world. Shifting priorities, economic challenges, and geopolitical alliances continue to influence how the country positions itself on key Ummah-related issues. In contrast, Bangladesh’s evolving nationalist identity presents another trajectory—one where historical memory, economic development, cultural pride, and political consolidation intersect. As the state continues to redefine what it means to be Bangladeshi, we will examine how these shifts impact democratic space, minority rights, and the region’s long-term stability. Finally, we turn to Kashmir, where an unresolved and decades-long struggle for self-determination remains one of the most sensitive and enduring crises in the Muslim world. Despite global attention waxing and waning, the humanitarian, political, and demographic realities on the ground continue to evolve with profound implications for justice and human rights. Together, these updates highlight the region’s broader themes: Who gets to define national identity? Whose rights are protected—or suppressed? And how do global and regional powers shape the future of millions? This talk aims to provide clarity, context, and a deeper understanding of the socioeconomic and political dynamics at play—helping attendees grasp both the challenges and the opportunities for meaningful advocacy and engagement."
12/26/2025,11:45 AM,12:25 PM,ASL,Jumuah 1,,,Suhaib Webb,,,Session,,,,
12/26/2025,12:55 PM,01:35 PM,ASL,Jumuah 2,,,Omar Suleiman,,,Session,,,,
12/26/2025,02:00 PM,02:45 PM,MAIN;ASL,Round Table Discussion Confident Muslim,Level 3 - Hall B,,Omar Suleiman; Mohammed Elshinawy; Abdullah Abdullah; Tom Facchine,,,Session,,,,
12/26/2025,02:00 PM,02:45 PM,Parallel Program (Arabic),للرجال فقط دور الأب في بناء شخصية الابن وطمأنينة الابنة,Level 1 - S103ABC,في زمن تتسارع فيه التحديات التربوية وتزداد فيه الضغوط الاجتماعية والنفسية على الأبناء، يبرز دور الأب كركيزة أساسية في استقرار الأسرة وتوازنها. هذه الجلسة الخاصة بالرجال تسلط الضوء على التأثير العميق للأب في تشكيل شخصية الابن، وبناء ثقته، وتوجيه طاقته، كما تتناول الدور الحساس للأب في منح الابنة الشعور بالأمان، والقيمة، والاحتواء.الحديث ليس عن الأب الغائب أو القاسي، بل عن الأب الحاضر الواعي الذي يفهم أن القيادة ليست سلطة، بل مسؤولية، وأن الحزم لا يتعارض مع الرحمة، وأن حضوره العاطفي يترك أثرًا لا يمحوه الزمن.جلسة صادقة وعميقة للآباء، ومن سيصبحون آباء، لإعادة تعريف معنى الأبوة في ضوء القرآن والسنة والتجربة الواقعية.,Mohamed Moussa,,,Session,,,"At a time when educational challenges are accelerating and social and psychological pressures on children are increasing, the role of the father as a fundamental pillar of family stability and balance is highlighted. This men ' s session highlights the profound influence of the father in shaping the son ' s personality, building his trust and guiding his capacity, as well as the sensitive role of the father in giving the daughter a feeling of safety, value and containment. Talking is not about the absent or cruel father, but about the conscious father present who understands that leadership is not power, it is responsibility, that the belt is not against mercy, and that his emotional presence leaves an irreversible effect. A sincere and deep meeting of parents, who will be fathers, to redefine the meaning of parenthood in the light of the Koran, the Year and the real experience.",في زمن تتسارع فيه التحديات التربوية وتزداد فيه الضغوط الاجتماعية والنفسية على الأبناء، يبرز دور الأب كركيزة أساسية في استقرار الأسرة وتوازنها. هذه الجلسة الخاصة بالرجال تسلط الضوء على التأثير العميق للأب في تشكيل شخصية الابن، وبناء ثقته، وتوجيه طاقته، كما تتناول الدور الحساس للأب في منح الابنة الشعور بالأمان، والقيمة، والاحتواء.الحديث ليس عن الأب الغائب أو القاسي، بل عن الأب الحاضر الواعي الذي يفهم أن القيادة ليست سلطة، بل مسؤولية، وأن الحزم لا يتعارض مع الرحمة، وأن حضوره العاطفي يترك أثرًا لا يمحوه الزمن.جلسة صادقة وعميقة للآباء، ومن سيصبحون آباء، لإعادة تعريف معنى الأبوة في ضوء القرآن والسنة والتجربة الواقعية.
12/26/2025,02:00 PM,02:45 PM,Parallel Program (Arabic),للنساء فقط قلوب ثابتة رغم العواصف - نساء ربّانيات في كل زمن,Level 1 - GB S100A,في زمن تتكاثر فيه الضغوط، وتزداد فيه الفتن، وتُربَك فيه الهُويات، تبقى المرأة المسلمة مطالبة أن تكون ثابتة في قلب العاصفة، لا منكسرة ولا ضائعة، بل راسخة الجذور، ممتدة الروح، حيّة الإيمان. قلب المرأة اليوم يتعرض لرياح كثيرة: خوف على الأبناء، ضغوط المجتمع، صراع الأدوار، مقارنة مستمرة، وموجات من الشك والإرهاق. ومع ذلك، فإن التاريخ الإسلامي يخبرنا أن أعظم القلوب ثباتًا في المحن كانت قلوب النساء: أمهات، وزوجات، ومربيات، ومجاهدات بالصبر والإيمان.هذه المحاضرة ليست عن المثالية… بل عن الواقعية المؤمنة. ليست عن نساء خارقات… بل عن نساء ربانيات: يعرفن الله، فيثبتن عند البلاء، ويزهرن في زمن القحط، ويصبحن نورًا لغيرهن وهن في قلب الألم. سنتحدث عن الثبات… لا كقوة جامدة، بل كطمأنينة حية، وعن الربانية… لا كشعارات، بل كحياة يومية مليئة بالإيمان والوعي واليقين.,Hadia Zarzour,,,Session,,,"In a time when pressures are growing, there is an increase in fatigue, and in which identities are raised, Muslim women remain required to be fixed in the heart of the storm, neither broken nor lost, but rooted, long-spirited, alive. Women ' s heart today is exposed to many winds: fear for children, pressure from society, conflict of roles, constant comparison, waves of doubt and exhaustion. However, Islamic history tells us that the greatest hearts in distress were women ' s hearts: mothers, wives, nurseries, patience and faith. This lecture isn't about idealism... but about honest reality. It's not about super-female women... but about Japanese women: they know God, they prove to purity, they blossom in time of degradation, and they become the light of others in the heart of pain. We'll talk about persistence... not as a force of rigidity, but as a living tranquillity, not as slogans, but as a daily life full of faith, consciousness and certainty.",في زمن تتكاثر فيه الضغوط، وتزداد فيه الفتن، وتُربَك فيه الهُويات، تبقى المرأة المسلمة مطالبة أن تكون ثابتة في قلب العاصفة، لا منكسرة ولا ضائعة، بل راسخة الجذور، ممتدة الروح، حيّة الإيمان. قلب المرأة اليوم يتعرض لرياح كثيرة: خوف على الأبناء، ضغوط المجتمع، صراع الأدوار، مقارنة مستمرة، وموجات من الشك والإرهاق. ومع ذلك، فإن التاريخ الإسلامي يخبرنا أن أعظم القلوب ثباتًا في المحن كانت قلوب النساء: أمهات، وزوجات، ومربيات، ومجاهدات بالصبر والإيمان.هذه المحاضرة ليست عن المثالية… بل عن الواقعية المؤمنة. ليست عن نساء خارقات… بل عن نساء ربانيات: يعرفن الله، فيثبتن عند البلاء، ويزهرن في زمن القحط، ويصبحن نورًا لغيرهن وهن في قلب الألم. سنتحدث عن الثبات… لا كقوة جامدة، بل كطمأنينة حية، وعن الربانية… لا كشعارات، بل كحياة يومية مليئة بالإيمان والوعي واليقين.
12/26/2025,02:00 PM,02:45 PM,MSA National,Your Digital Footprint,Level1- S101,"The Prophet Muhammad ﷺ told us, “When a person dies, all their deeds end except three: a continuing charity, beneficial knowledge, and a child who prays for them.” But what happens to our social media? In our current times, social media is used for everything: our personal lives, our MSA, or masjid youth group. We know, however, that someone’s social media does not die with them. We often do not think about our digital footprint and the legacy we’re leaving behind through our social media. How can we ensure we are embodying the lifestyle of the prophets on our social media? At a time when social media is used for flaunting materialism, how can we use it in a way that is pleasing to Allah SWT both within our lives and after our deaths?",Saad Tasleem,,,Session,,,"The Prophet Muhammad prayed God for him and peace told us, “When a person dies, all their deeds end except three: a continuing charity, beneficial knowledge, and a child who prays for them.” But what happens to our social media? In our current times, social media is used for everything: our personal lives, our MSA, or masjid youth group. We know, however, that someone’s social media does not die with them. We often do not think about our digital footprint and the legacy we’re leaving behind through our social media. How can we ensure we are embodying the lifestyle of the prophets on our social media? At a time when social media is used for flaunting materialism, how can we use it in a way that is pleasing to Allah SWT both within our lives and after our deaths?","The Prophet Muhammad ﷺ told us, “When a person dies, all their deeds end except three: a continuing charity, beneficial knowledge, and a child who prays for them.” But what happens to our social media? In our current times, social media is used for everything: our personal lives, our MSA, or masjid youth group. We know, however, that someone’s social media does not die with them. We often do not think about our digital footprint and the legacy we’re leaving behind through our social media. How can we ensure we are embodying the lifestyle of the prophets on our social media? At a time when social media is used for flaunting materialism, how can we use it in a way that is pleasing to Allah SWT both within our lives and after our deaths?"
12/26/2025,02:00 PM,02:45 PM,Youth,Rejecting Your Nafs,Level 4-N426,"We live in a world that constantly pulls us in different directions—pressure, noise, temptation, and the urge to always choose what feels easiest in the moment. But one of the greatest acts of courage is learning to say no to the nafs. This session is about what it really means to master the self: how strengthening your inner discipline helps you stay firm in your faith, make better choices, and hold onto your integrity when life feels overwhelming.",Omar Hedroug,,,Session,,,"We live in a world that constantly pulls us in different directions—pressure, noise, temptation, and the urge to always choose what feels easiest in the moment. But one of the greatest acts of courage is learning to say no to the nafs. This session is about what it really means to master the self: how strengthening your inner discipline helps you stay firm in your faith, make better choices, and hold onto your integrity when life feels overwhelming.","We live in a world that constantly pulls us in different directions—pressure, noise, temptation, and the urge to always choose what feels easiest in the moment. But one of the greatest acts of courage is learning to say no to the nafs. This session is about what it really means to master the self: how strengthening your inner discipline helps you stay firm in your faith, make better choices, and hold onto your integrity when life feels overwhelming."
12/26/2025,02:00 PM,02:45 PM,Legal (MLFA),National Security and Civil Liberties: The Price of Silence,Level 1 - S102A,"Abstract: In chaotic times, governments often weaponize national security to silence dissent — from Muslim communities in America to pro-Palestinian activists worldwide. MLFA’s legal defense challenges this erosion of freedoms, ensuring Muslims are not criminalized for their faith or advocacy. This presentation warns of the price of silence: when rights are trampled in the name of security, the cost is democracy itself. Faith under fire demands that we speak, resist, and stand firm.Learning Objectives:>Analyze how security frameworks threaten civil liberties in chaotic times.>Examine MLFA’s role in challenging surveillance and censorship.>Understand the link between silencing pro-Palestinian advocacy and Islamophobia. >Identify legal and community strategies to defend dissent and conscience.",Arshia Ali-Khan,,,Session,,,"Abstract: In chaotic times, governments often weaponize national security to silence dissent — from Muslim communities in America to pro-Palestinian activists worldwide. MLFA’s legal defense challenges this erosion of freedoms, ensuring Muslims are not criminalized for their faith or advocacy. This presentation warns of the price of silence: when rights are trampled in the name of security, the cost is democracy itself. Faith under fire demands that we speak, resist, and stand firm.Learning Objectives:>Analyze how security frameworks threaten civil liberties in chaotic times.>Examine MLFA’s role in challenging surveillance and censorship.>Understand the link between silencing pro-Palestinian advocacy and Islamophobia. >Identify legal and community strategies to defend dissent and conscience.","Abstract: In chaotic times, governments often weaponize national security to silence dissent — from Muslim communities in America to pro-Palestinian activists worldwide. MLFA’s legal defense challenges this erosion of freedoms, ensuring Muslims are not criminalized for their faith or advocacy. This presentation warns of the price of silence: when rights are trampled in the name of security, the cost is democracy itself. Faith under fire demands that we speak, resist, and stand firm.Learning Objectives:>Analyze how security frameworks threaten civil liberties in chaotic times.>Examine MLFA’s role in challenging surveillance and censorship.>Understand the link between silencing pro-Palestinian advocacy and Islamophobia. >Identify legal and community strategies to defend dissent and conscience."
12/26/2025,02:00 PM,02:45 PM,Spousal & Parenting,Spousal & Parenting Balance,Level 1 - S104,"Balancing marriage and parenting is one of the most challenging responsibilities of modern family life. Between work, household duties, emotional needs, raising children, and cultivating spiritual growth, many couples find themselves overwhelmed or drifting into silent exhaustion.Islam offers a framework of mercy, teamwork, and intentional living that can transform the home into a space of sakīnah (tranquility), rahmah (compassion), and barakah. In this husband-and-wife talk, the speakers will reflect on how couples can strengthen their partnership, divide responsibilities with wisdom, and raise children in a home rooted in faith and harmony.Through honest reflections and practical strategies, this session will explore how to navigate stress, communicate effectively, maintain emotional intimacy, and model healthy behavior for children. Attendees will walk away with faith-centered tools to build balance, nurture the marital bond, and cultivate a home environment where parents and children thrive together.",Suhail Mulla; Lobna Mulla,,,Session,,,"Balancing marriage and parenting is one of the most challenging responsibilities of modern family life. Between work, household duties, emotional needs, raising children, and cultivating spiritual growth, many couples find themselves overwhelmed or drifting into silent exhaustion.Islam offers a framework of mercy, teamwork, and intentional living that can transform the home into a space of sakīnah (tranquility), rahmah (compassion), and barakah. In this husband-and-wife talk, the speakers will reflect on how couples can strengthen their partnership, divide responsibilities with wisdom, and raise children in a home rooted in faith and harmony.Through honest reflections and practical strategies, this session will explore how to navigate stress, communicate effectively, maintain emotional intimacy, and model healthy behavior for children. Attendees will walk away with faith-centered tools to build balance, nurture the marital bond, and cultivate a home environment where parents and children thrive together.","Balancing marriage and parenting is one of the most challenging responsibilities of modern family life. Between work, household duties, emotional needs, raising children, and cultivating spiritual growth, many couples find themselves overwhelmed or drifting into silent exhaustion.Islam offers a framework of mercy, teamwork, and intentional living that can transform the home into a space of sakīnah (tranquility), rahmah (compassion), and barakah. In this husband-and-wife talk, the speakers will reflect on how couples can strengthen their partnership, divide responsibilities with wisdom, and raise children in a home rooted in faith and harmony.Through honest reflections and practical strategies, this session will explore how to navigate stress, communicate effectively, maintain emotional intimacy, and model healthy behavior for children. Attendees will walk away with faith-centered tools to build balance, nurture the marital bond, and cultivate a home environment where parents and children thrive together."
12/26/2025,02:00 PM,02:45 PM,Professional Society (AMPS),Is Your 401(k) “Halal-Friendly”? Halal Retirement Choices Explained,Hyatt Regency Ballrooms CDE,,Samer Eshmawy; Bashar Qasem,,,Session,,,,
12/26/2025,02:00 PM,02:45 PM,ISPU,"Elections 2024: A Deep Dive — How Did American Muslims Actually Vote, and What Does It Mean for 2026",Level 1 - S102D,,Dalia Mogahed; Basim Elkarra; Tuqa Nusairat,,,Session,,,,
12/26/2025,02:00 PM,02:45 PM,Education,How Public Schools Are the Heart of Democracy,Level 1 - S102BC,,Sawsan Jaber,,,Session,,,,
12/26/2025,02:00 PM,02:45 PM,Activism,Unconstitutional Crackdowns: Protecting Your Free Speech Rights CAIR,Level 1 - S105BC,,Edward Mitchell; Gadeir Abbas; Marium Uddin,,,Session,,,,
12/26/2025,02:00 PM,02:45 PM,Dawah,"Da‘wah Skills for Success: Communication, Leadership, and Project Excellence",Level 1 - S105D,"Effective da‘wah requires more than knowledge, passion, and experience; it requires skills. This session equips participants, with the essential tools to become impactful communicators and organized leaders in da‘wah. Attendees will learn the art of confident public speaking, effective communication, and time and project management, all within the framework of Islamic ethics and the prophetic character. Dr. Sabeel Ahmed will share practical methods on body language, hand gestures, voice inflection, facial expressions, softness, etc., which are just as effective in conveying Islam as the message itself.",Sabeel Ahmed,,,Session,,,"Effective da‘wah requires more than knowledge, passion, and experience; it requires skills. This session equips participants, with the essential tools to become impactful communicators and organized leaders in da‘wah. Attendees will learn the art of confident public speaking, effective communication, and time and project management, all within the framework of Islamic ethics and the prophetic character. Dr. Sabeel Ahmed will share practical methods on body language, hand gestures, voice inflection, facial expressions, softness, etc., which are just as effective in conveying Islam as the message itself.","Effective da‘wah requires more than knowledge, passion, and experience; it requires skills. This session equips participants, with the essential tools to become impactful communicators and organized leaders in da‘wah. Attendees will learn the art of confident public speaking, effective communication, and time and project management, all within the framework of Islamic ethics and the prophetic character. Dr. Sabeel Ahmed will share practical methods on body language, hand gestures, voice inflection, facial expressions, softness, etc., which are just as effective in conveying Islam as the message itself."
12/26/2025,02:00 PM,02:45 PM,Women & Community Solutions,Redefining Muslim Women Leadership,Level 1 - S106,,Ismahan Abdullahi; Nabeela Syed,,,Session,,,,
12/26/2025,02:00 PM,02:45 PM,Parallel Program,From Ta’if to Uhud to GAZA… Resilience in Chaotic Times,Level 1 - S105A,"Throughout the Seerah, the Prophet Muhammad (pbuh) endured moments of intense pain, rejection, and trauma — yet responded with unwavering faith, emotional steadiness, and moral clarity. From the heartbreak of Ta’if, to the devastating losses at Uhud, to the suffocating siege of the Trench, his resilience became the foundation upon which the early Muslim community survived and later thrived.Today, Muslims — especially youth — face their own version of Ta’if and Uhud: stress, failures, public hostility, Islamophobia, family tension, academic pressure, and the overwhelming grief of witnessing the atrocities in Gaza and elsewhere in the Ummah.This session explores how the Prophetic model offers a roadmap for enduring pain with dignity, protecting the heart during hardship, and transforming struggle into spiritual and communal strength.This session will walk the audience through a sequential journey:Personal inner resilience — how the Prophet handled emotional wounds, rejection, setbacks, and pressure.Communal resilience — how we, as American Muslims, channel pain into purpose, solidarity, and long-term empowerment for the Ummah today.",Mohamed AbuTaleb; Rami Bleibel,,,Session,,,"Throughout the Seerah, the Prophet Muhammad (pbuh) endured moments of intense pain, rejection, and trauma — yet responded with unwavering faith, emotional steadiness, and moral clarity. From the heartbreak of Ta’if, to the devastating losses at Uhud, to the suffocating siege of the Trench, his resilience became the foundation upon which the early Muslim community survived and later thrived.Today, Muslims — especially youth — face their own version of Ta’if and Uhud: stress, failures, public hostility, Islamophobia, family tension, academic pressure, and the overwhelming grief of witnessing the atrocities in Gaza and elsewhere in the Ummah.This session explores how the Prophetic model offers a roadmap for enduring pain with dignity, protecting the heart during hardship, and transforming struggle into spiritual and communal strength.This session will walk the audience through a sequential journey:Personal inner resilience — how the Prophet handled emotional wounds, rejection, setbacks, and pressure.Communal resilience — how we, as American Muslims, channel pain into purpose, solidarity, and long-term empowerment for the Ummah today.","Throughout the Seerah, the Prophet Muhammad (pbuh) endured moments of intense pain, rejection, and trauma — yet responded with unwavering faith, emotional steadiness, and moral clarity. From the heartbreak of Ta’if, to the devastating losses at Uhud, to the suffocating siege of the Trench, his resilience became the foundation upon which the early Muslim community survived and later thrived.Today, Muslims — especially youth — face their own version of Ta’if and Uhud: stress, failures, public hostility, Islamophobia, family tension, academic pressure, and the overwhelming grief of witnessing the atrocities in Gaza and elsewhere in the Ummah.This session explores how the Prophetic model offers a roadmap for enduring pain with dignity, protecting the heart during hardship, and transforming struggle into spiritual and communal strength.This session will walk the audience through a sequential journey:Personal inner resilience — how the Prophet handled emotional wounds, rejection, setbacks, and pressure.Communal resilience — how we, as American Muslims, channel pain into purpose, solidarity, and long-term empowerment for the Ummah today."
